eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85147540801,10.1609/aaai.v36i10.21405,,,A Graph Convolutional Network with Adaptive Graph Generation and Channel Selection for Event Detection,cp,Conference Paper,Xie Z.,60009860,Fudan University,Shanghai,China,2.0,"Xie, Zhipeng;Tu, Yumin",57198628049;58093767500,60009860;60009860,2022-06-30,30 June 2022,Proceedings of the 36th Aaai Conference on Artificial Intelligence Aaai 2022,,21101133594.0,,Conference Proceeding,36,,,11522-11529,"Graph convolutional networks have been successfully applied to the task of event detection. However, existing works rely heavily on a fixed syntactic parse tree structure from an external parser. In addition, the information content extracted for aggregation is determined simply by the (syntactic) edge direction or type but irrespective of what semantics the vertices have, which is somewhat rigid. With this work, we propose a novel graph convolutional method that combines an adaptive graph generation technique and a multi-channel selection strategy. The adaptive graph generation technique enables the gradients to pass through the graph sampling layer by using the ST-Gumbel-Softmax trick. The multi-channel selection strategy allows two adjacent vertices to automatically determine which information channels to get through for information extraction and aggregation. The proposed method achieves the state-of-the-art performance on ACE2005 dataset.",,15,1.0,all publisherfullgold,All Open Access Gold,NSFC,62076072,National Natural Science Foundation of China
2-s2.0-85163090663,,,,A Hierarchical Transitive-Aligned Graph Kernel for Un-attributed Graphs,cp,Conference Paper,Bai L.,60023237;60016418;60013131,Beijing Normal University;University of York;Central University of Finance and Economics,Beijing;York;Beijing,China;United Kingdom;China,3.0,"Bai, Lu;Cui, Lixin;Hancock, Edwin R.",50361034800;57191873900;7202876234,60023237-60013131;60013131;60016418,2022-01-01,2022,Proceedings of Machine Learning Research,,21101153015.0,26403498.0,Conference Proceeding,162,,,1327-1336,"In this paper, we develop a new graph kernel, namely the Hierarchical Transitive-Aligned Kernel, by transitively aligning the vertices between graphs through a family of hierarchical prototype graphs. Comparing to most existing state-of-the-art graph kernels, the proposed kernel has three theoretical advantages. First, it incorporates the locational correspondence information between graphs into the kernel computation, and thus overcomes the shortcoming of ignoring structural correspondences arising in most R-convolution kernels. Second, it guarantees the transitivity between the correspondence information that is not available for most existing matching kernels. Third, it incorporates the information of all graphs under comparisons into the kernel computation process, and thus encapsulates richer characteristics. Experimental evaluations demonstrate the effectiveness of the new transitive-aligned kernel.",,15,0.0,,,NSFC,61602535,National Natural Science Foundation of China
2-s2.0-85180301846,,,,A High-Resolution Dataset for Instance Detection with Multi-View Instance Capture,cp,Conference Paper,Shen Q.,60020547;60007278;60022317;124531910;131186154,"Texas A&M University;University of California, Irvine;University of Macau;Zhejiang Lab;Institute of Collaborative Innovation",College Station;Irvine;Taipa;Shanghai;,United States;United States;Macao;China;,6.0,"Shen, Qianqian;Zhao, Yunhan;Kwon, Nahyun;Kim, Jeeeun;Li, Yanan;Kong, Shu",57870041000;57216947249;57222380296;56159870300;57192556687;57216136329,124531910;60007278;60020547;60020547;124531910;60020547-131186154-60022317,2023-01-01,2023,Advances in Neural Information Processing Systems,10495258.0,23669.0,,Conference Proceeding,36,,,,"Instance detection (InsDet) is a long-lasting problem in robotics and computer vision, aiming to detect object instances (predefined by some visual examples) in a cluttered scene. Despite its practical significance, its advancement is overshadowed by Object Detection, which aims to detect objects belonging to some predefined classes. One major reason is that current InsDet datasets are too small in scale by today's standards. For example, the popular InsDet dataset GMU (published in 2016) has only 23 instances, far less than COCO (80 classes), a well-known object detection dataset published in 2014. We are motivated to introduce a new InsDet dataset and protocol. First, we define a realistic setup for InsDet: training data consists of multi-view instance captures, along with diverse scene images allowing synthesizing training images by pasting instance images on them with free box annotations. Second, we release a real-world database, which contains multi-view capture of 100 object instances, and high-resolution (6k×8k) testing images. Third, we extensively study baseline methods for InsDet on our dataset, analyze their performance and suggest future work. Somewhat surprisingly, using the off-the-shelf class-agnostic segmentation model (Segment Anything Model, SAM) and the self-supervised feature representation DINOv2 performs the best, achieving >10 AP better than end-to-end trained InsDet models that repurpose object detectors (e.g., FasterRCNN and RetinaNet).",,1,0.0,,,NSFC,62206256,National Natural Science Foundation of China
2-s2.0-85167964610,10.1609/aaai.v37i11.26593,,,A Latent-Variable Model for Intrinsic Probing,cp,Conference Paper,Stańczak K.,60022195;60025858;60030840;60355330,Massachusetts Institute of Technology;ETH Zürich;Københavns Universitet;Meta Ai,Cambridge;Zurich;Copenhagen;Menlo Park,United States;Switzerland;Denmark;United States,5.0,"Stańczak, Karolina;Hennigen, Lucas Torroba;Williams, Adina;Cotterell, Ryan;Augenstein, Isabelle",57223802604;57219757293;56387940900;56350054200;55236320300,60030840;60022195;60355330;60025858;60030840,2023-06-27,27 June 2023,Proceedings of the 37th Aaai Conference on Artificial Intelligence Aaai 2023,,21101170618.0,,Conference Proceeding,37,,,13591-13599,"The success of pre-trained contextualized representations has prompted researchers to analyze them for the presence of linguistic information. Indeed, it is natural to assume that these pre-trained representations do encode some level of linguistic knowledge as they have brought about large empirical improvements on a wide variety of NLP tasks, which suggests they are learning true linguistic generalization. In this work, we focus on intrinsic probing, an analysis technique where the goal is not only to identify whether a representation encodes a linguistic attribute but also to pinpoint where this attribute is encoded. We propose a novel latent-variable formulation for constructing intrinsic probes and derive a tractable variational approximation to the log-likelihood. Our results show that our model is versatile and yields tighter mutual information estimates than two intrinsic probes previously proposed in the literature. Finally, we find empirical evidence that pre-trained representations develop a cross-lingually entangled notion of morphosyntax.",,2,1.0,all publisherfullgold,All Open Access Gold,,,
2-s2.0-85152230236,10.1613/JAIR.1.14113,,,A Logic of East and West,ar,Article,Du H.,60026851;60031031;60073652;60007989;60012070;60015875;60104720;60111768,University of Oxford;Shandong University;Tongji University;Universiteit Utrecht;University of Leeds;University of Aberdeen;University of Nottingham Ningbo China;The Alan Turing Institute,Oxford;Jinan;Shanghai;Utrecht;Leeds;Aberdeen;Ningbo;London,United Kingdom;China;China;Netherlands;United Kingdom;United Kingdom;China;United Kingdom,6.0,"Du, Heshan;Alechina, Natasha;Farjudian, Amin;Logan, Brian;Zhou, Can;Cohn, Anthony G.",55327433000;6603450996;8403010200;56092567900;57216587487;57225810681,60104720;60007989;60104720;60007989-60015875;60026851;60012070-60111768-60073652-60031031,2023-01-01,2023,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,76,,,527-565,"We propose a logic of east and west (LEW) for points in 1D Euclidean space. It formalises primitive direction relations: east (E), west (W) and indeterminate east/west (I<inf>ew</inf>). It has a parameter τ ∈ N<inf>></inf><inf>1</inf>, which is referred to as the level of indeterminacy in directions. For every τ ∈ N<inf>></inf><inf>1</inf>, we provide a sound and complete axiomatisation of LEW, and prove that its satisfiability problem is NP-complete. In addition, we show that the finite axiomatisability of LEW depends on τ: if τ = 2 or τ = 3, then there exists a finite sound and complete axiomatisation; if τ > 3, then the logic is not finitely axiomatisable. LEW can be easily extended to higher-dimensional Euclidean spaces. Extending LEW to 2D Euclidean space makes it suitable for reasoning about not perfectly aligned representations of the same spatial objects in different datasets, for example, in crowd-sourced digital maps.",,2,1.0,all publisherfullgold repository repositoryam,All Open Access Gold Green,ATI,825619,Alan Turing Institute
2-s2.0-85190405106,10.1613/jair.1.15213,,,A Map of Diverse Synthetic Stable Matching Instances,ar,Article,Boehmer N.,60011604;60017351,Technische Universität Berlin;AGH University of Krakow,Berlin;Krakow,Germany;Poland,3.0,"Boehmer, Niclas;Heeger, Klaus;Szufa, Stanisław",57219118917;57212274933;57204360148,60011604;60011604;60017351,2024-01-01,2024,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,79,,,1113-1166,"Focusing on Stable Roommates (SR), we contribute to the toolbox for conducting experiments for stable matching problems. We introduce the polynomial-time computable mutual attraction distance to measure the similarity of SR instances, analyze its properties, and use it to create a map of SR instances. This map visualizes 460 synthetic SR instances (each sampled from one of ten different statistical cultures) as follows: Each instance is a point in the plane, and two points are close on the map if the corresponding SR instances are similar with respect to our mutual attraction distance to each other. Subsequently, we conduct several illustrative experiments and depict their results on the map, illustrating the map’s usefulness as a non-aggregate visualization tool, the diversity of our generated dataset, and the need to use instances sampled from different statistical cultures. Lastly, we extend our approach to the bipartite Stable Marriage problem.",,2,1.0,all publisherfullgold,All Open Access Gold,ERC,NI 369/22,European Research Council
2-s2.0-85165168530,10.1613/jair.1.13934,,,A Markov Framework for Learning and Reasoning About Strategies in Professional Soccer,ar,Article,Van Roy M.,60008141;60121221,Örebro Universitet;Departement Computerwetenschappen,Orebro;Leuven,Sweden;Belgium,5.0,"Van Roy, Maaike;Robberechts, Pieter;Yang, Wen Chi;De Raedt, Luc;Davis, Jesse",57222576578;57205377775;57223722730;55760010700;57222752756,60121221;60121221;60121221;60121221-60008141;60121221,2023-01-01,2023,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,77,,,517-562,"Strategy-optimization is a fundamental element of dynamic and complex team sports such as soccer, American football, and basketball. As the amount of data that is collected from matches in these sports has increased, so has the demand for data-driven decision-making support. If alternative strategies need to be balanced, a data-driven approach can uncover insights that are not available from qualitative analysis. This could tremendously aid teams in their match preparations. In this work, we propose a novel Markov model-based framework for soccer that allows reasoning about the specific strategies teams use in order to gain insights into the efficiency of each strategy. The framework consists of two components: (1) a learning component, which entails modeling a team’s offensive behavior by learning a Markov decision process (MDP) from event data that is collected from the team’s matches, and (2) a reasoning component, which involves a novel application of probabilistic model checking to reason about the efficacy of the learned strategies of each team. In this paper, we provide an overview of this framework and illustrate it on several use cases using real-world event data from three leagues. Our results show that the framework can be used to reason about the shot decision-making of teams and to optimise the defensive strategies used when playing against a particular team. The general ideas presented in this framework can easily be extended to other sports.",,13,1.0,all publisherfullgold repository repositoryam,All Open Access Gold Green,EC,101070149,Vlaamse regering
2-s2.0-85129605896,10.1613/jair.1.13610,,,A Metric Space for Point Process Excitations,ar,Article,Marmarelis M.G.,60015400,Information Sciences Institute,Marina del Rey,United States,3.0,"Marmarelis, Myrl G.;Steeg, Greg Ver;Galstyan, Aram",57216494220;26326519600;7003679856,60015400;60015400;60015400,2022-01-01,2022,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,73,,,1323-1353,"A multivariate Hawkes process enables self- and cross-excitations through a triggering matrix that behaves like an asymmetrical covariance structure, characterizing pairwise interactions between the event types. Full-rank estimation of all interactions is often infeasible in empirical settings. Models that specialize on a spatiotemporal application alleviate this obstacle by exploiting spatial locality, allowing the dyadic relationships between events to depend only on separation in time and relative distances in real Euclidean space. Here we generalize this framework to any multivariate Hawkes process, and harness it as a vessel for embedding arbitrary event types in a hidden metric space. Specifically, we propose a Hidden Hawkes Geometry (HHG) model to uncover the hidden geometry between event excitations in a multivariate point process. The low dimensionality of the embedding regularizes the structure of the inferred interactions. We develop a number of estimators and validate the model by conducting several experiments. In particular, we investigate regional infectivity dynamics of COVID-19 in an early South Korean record and recent Los Angeles confirmed cases. By additionally performing synthetic experiments on short records as well as explorations into options markets and the Ebola epidemic, we demonstrate that learning the embedding alongside a point process uncovers salient interactions in a broad range of applications.",,1,1.0,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
2-s2.0-105018455136,,,,A Multilabel Classification Framework for Approximate Nearest Neighbor Search,ar,Article,Hyvönen V.,60002952;60103653;60136640,Helsingin Yliopisto;Aalto University;School of Computer Science,Helsinki;Espoo;Pittsburgh,Finland;Finland;United States,3.0,"Hyvönen, Ville;Jääsaari, Elias;Roos, Teemu",56185173100;57193614267;7006941073,60103653;60136640;60002952,2024-01-01,2024,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,25,,,,"To learn partition-based index structures for approximate nearest neighbor (ANN) search, both supervised and unsupervised machine learning algorithms have been used. Existing supervised algorithms select all the points that belong to the same partition element as the query point as nearest neighbor candidates. Consequently, they formulate the learning task as finding a partition in which the nearest neighbors of a query point belong to the same partition element with it as often as possible. In contrast, we formulate the candidate set selection in ANN search directly as a multilabel classification problem where the labels correspond to the nearest neighbors of the query point. In the proposed framework, partition-based index structures are interpreted as partitioning classifiers for solving this classification problem. Empirical results suggest that, when combined with any partitioning strategy, the natural classifier based on the proposed framework leads to a strictly improved performance compared to the earlier candidate set selection methods. We also prove a sufficient condition for the consistency of a partitioning classifier for ANN search, and illustrate the result by verifying this condition for chronological k-d trees and (both dense and sparse) random projection trees.",approximate nearest neighbor search | multilabel classification | partitioning models | statistical learning theory,1,0.0,,,FCAI,345635,Finnish Center for Artificial Intelligence
2-s2.0-85148762026,,,,A NON-PARAMETRIC REGRESSION VIEWPOINT: GENERALIZATION OF OVERPARAMETRIZED DEEP RELU NETWORK UNDER NOISY OBSERVATIONS,cp,Conference Paper,Suh N.,60136858,College of Engineering,Atlanta,United States,3.0,"Suh, Namjoon;Ko, Hyunouk;Huo, Xiaoming",57213419843;58147670000;7005818991,60136858;60136858;60136858,2022-01-01,2022,Iclr 2022 10th International Conference on Learning Representations,,21101141642.0,,Conference Proceeding,,,,,"We study the generalization properties of the overparameterized deep neural network (DNN) with Rectified Linear Unit (ReLU) activations. Under the nonparametric regression framework, it is assumed that the ground-truth function is from a reproducing kernel Hilbert space (RKHS) induced by a neural tangent kernel (NTK) of ReLU DNN, and a dataset is given with the noises. Without a delicate adoption of early stopping, we prove that the overparametrized DNN trained by vanilla gradient descent does not recover the ground-truth function. It turns out that the estimated DNN's L<inf>2</inf> prediction error is bounded away from 0. As a complement of the above result, we show that the ℓ<inf>2</inf>-regularized gradient descent enables the overparametrized DNN to achieve the minimax optimal convergence rate of the L<inf>2</inf> prediction error, without early stopping. Notably, the rate we obtained is faster than O(n<sup>-1/2</sup>) known in the literature.",,2,0.0,,,NSF,CCF-1740776,National Science Foundation
