source,year,title,authors,keywords,index,pdf_path,awards,theoretical,implementation_url,public_datasets,total_datasets,Implementation,Data,Configuration,Experimental Procedure,Expertise
AAAI,2022,First Order Rewritability in Ontology-Mediated Querying in Horn Description Logics,"David Toman, Grant Weddell",Knowledge Representation And Reasoning (KRR),20534,AAAI/2022/Proceedings/20534 - First Order Rewritability in Ontology-Mediated Querying in Horn Description Logics.pdf,,True,False,0,0,1,1,1,1,7
AAAI,2022,Interpreting Gender Bias in Neural Machine Translation: Multilingual Architecture Matters,"Marta R. Costa-jussà, Carlos Escolano, Christine Basta, Javier Ferrando, Roser Batlle, Ksenia Kharitonova",AI For Social Impact (AISI Track Papers Only),21442,AAAI/2022/Proceedings/21442 - Interpreting Gender Bias in Neural Machine Translation: Multilingual Architecture Matters.pdf,,False,False,1,1,8,1,3,2,3
AAAI,2022,Improving Neural Cross-Lingual Abstractive Summarization via Employing Optimal Transport Distance for Knowledge Distillation,"Thong Thanh Nguyen, Anh Tuan Luu",Speech & Natural Language Processing (SNLP),21359,AAAI/2022/Proceedings/21359 - Improving Neural Cross-Lingual Abstractive Summarization via Employing Optimal Transport Distance for Knowledge Distillation.pdf,,False,False,1,3,9,5,4,7,5
AAAI,2022,Local Surface Descriptor for Geometry and Feature Preserved Mesh Denoising,"Wenbo Zhao, Xianming Liu, Junjun Jiang, Debin Zhao, Ge Li, Xiangyang Ji",Computer Vision (CV),20255,AAAI/2022/Proceedings/20255 - Local Surface Descriptor for Geometry and Feature Preserved Mesh Denoising.pdf,,False,False,4,4,10,3,3,2,4
AAAI,2022,Recovering the Propensity Score from Biased Positive Unlabeled Data,"Walter Gerych, Thomas Hartvigsen, Luke Buquicchio, Emmanuel Agu, Elke Rundensteiner",Machine Learning (ML),20624,AAAI/2022/Proceedings/20624 - Recovering the Propensity Score from Biased Positive Unlabeled Data.pdf,,False,False,6,6,9,3,2,1,6
AAAI,2022,Sparsification of Decomposable Submodular Functions,"Akbar Rafiey, Yuichi Yoshida",Search And Optimization (SO),21275,AAAI/2022/Proceedings/21275 - Sparsification of Decomposable Submodular Functions.pdf,,False,False,2,2,9,1,3,2,7
AAAI,2022,Matching Market Design with Constraints,"Haris Aziz, Péter Biró, Makoto Yokoo","Market Design, Algorithms, Preferences, Matching, Constraints",21495,AAAI/2022/Proceedings/21495 - Matching Market Design with Constraints.pdf,,True,False,0,0,1,1,1,1,4
AAAI,2022,Pose Adaptive Dual Mixup for Few-Shot Single-View 3D Reconstruction,"Ta-Ying Cheng, Hsuan-Ru Yang, Niki Trigoni, Hwann-Tzong Chen, Tyng-Luh Liu",Computer Vision (CV),19920,AAAI/2022/Proceedings/19920 - Pose Adaptive Dual Mixup for Few-Shot Single-View 3D Reconstruction.pdf,,False,False,2,2,10,3,4,3,4
AAAI,2022,Combating Sampling Bias: A Self-Training Method in Credit Risk Models,"Jingxian Liao, Wei Wang, Jason Xue, Anthony Lei, Xue Han, Kun Lu","Credit Risk, Self-training, Reject Inference",21528,AAAI/2022/Proceedings/21528 - Combating Sampling Bias: A Self-Training Method in Credit Risk Models.pdf,,False,False,0,1,10,9,7,6,2
AAAI,2022,Adaptive Hypergraph Neural Network for Multi-Person Pose Estimation,"Xixia Xu, Qi Zou, Xue Lin",Computer Vision (CV),20201,AAAI/2022/Proceedings/20201 - Adaptive Hypergraph Neural Network for Multi-Person Pose Estimation.pdf,,False,False,3,3,7,2,3,2,3
AAAI,2022,Coordinate Descent on the Orthogonal Group for Recurrent Neural Network Training,"Estelle Massart, Vinayak Abrol",Machine Learning (ML),20742,AAAI/2022/Proceedings/20742 - Coordinate Descent on the Orthogonal Group for Recurrent Neural Network Training.pdf,,False,True,1,1,1,1,1,1,10
AAAI,2022,Suppressing Static Visual Cues via Normalizing Flows for Self-Supervised Video Representation Learning,"Manlin Zhang, Jinpeng Wang, Andy J. Ma","Computer Vision (CV), Machine Learning (ML)",20239,AAAI/2022/Proceedings/20239 - Suppressing Static Visual Cues via Normalizing Flows for Self-Supervised Video Representation Learning.pdf,,False,False,4,4,9,5,6,6,7
AAAI,2022,Prevailing in the Dark: Information Walls in Strategic Games,"Pavel Naumov, Wenxuan Zhang","Knowledge Representation And Reasoning (KRR), Game Theory And Economic Paradigms (GTEP), Multiagent Systems (MAS)",20528,AAAI/2022/Proceedings/20528 - Prevailing in the Dark: Information Walls in Strategic Games.pdf,,True,False,0,0,1,1,1,1,2
AAAI,2022,Anatomizing Bias in Facial Analysis,"Richa Singh, Puspita Majumdar, Surbhi Mittal, Mayank Vatsa","Face Analysis, Bias And Fairness, Face Recognition",21500,AAAI/2022/Proceedings/21500 - Anatomizing Bias in Facial Analysis.pdf,,True,False,0,0,1,1,1,1,2
AAAI,2022,Leaping through Time with Gradient-Based Adaptation for Recommendation,"Nuttapong Chairatanakul, Hoang NT, Xin Liu, Tsuyoshi Murata",Machine Learning (ML),20562,AAAI/2022/Proceedings/20562 - Leaping through Time with Gradient-Based Adaptation for Recommendation.pdf,,False,False,3,3,10,1,1,1,4
AAAI,2022,Flow-Based Unconstrained Lip to Speech Generation,"Jinzheng He, Zhou Zhao, Yi Ren, Jinglin Liu, Baoxing Huai, Nicholas Yuan",Computer Vision (CV),19966,AAAI/2022/Proceedings/19966 - Flow-Based Unconstrained Lip to Speech Generation.pdf,,False,False,1,1,9,3,4,6,6
AAAI,2022,Deep Neural Networks Learn Meta-Structures from Noisy Labels in Semantic Segmentation,"Yaoru Luo, Guole Liu, Yuanhao Guo, Ge Yang",Computer Vision (CV),20085,AAAI/2022/Proceedings/20085 - Deep Neural Networks Learn Meta-Structures from Noisy Labels in Semantic Segmentation.pdf,,False,False,4,4,10,6,5,7,6
AAAI,2022,Backprop-Free Reinforcement Learning with Active Neural Generative Coding,"Alexander G. Ororbia, Ankur Mali","Cognitive Modeling & Cognitive Systems (CMS), Machine Learning (ML)",19876,AAAI/2022/Proceedings/19876 - Backprop-Free Reinforcement Learning with Active Neural Generative Coding.pdf,,False,False,4,4,9,6,7,1,7
AAAI,2022,Evidential Neighborhood Contrastive Learning for Universal Domain Adaptation,"Liang Chen, Yihang Lou, Jianzhong He, Tao Bai, Minghua Deng","Machine Learning (ML), Computer Vision (CV)",20575,AAAI/2022/Proceedings/20575 - Evidential Neighborhood Contrastive Learning for Universal Domain Adaptation.pdf,,False,False,3,3,9,2,3,3,5
AAAI,2022,SJDL-Vehicle: Semi-supervised Joint Defogging Learning for Foggy Vehicle Re-identification,"Wei-Ting Chen, I-Hsiang Chen, Chih-Yuan Yeh, Hao-Hsiang Yang, Jian-Jiun Ding, Sy-Yen Kuo",Computer Vision (CV),19911,AAAI/2022/Proceedings/19911 - SJDL-Vehicle: Semi-supervised Joint Defogging Learning for Foggy Vehicle Re-identification.pdf,,False,True,3,3,1,2,2,2,5
AAAI,2022,NoiseGrad — Enhancing Explanations by Introducing Stochasticity to Model Weights,"Kirill Bykov, Anna Hedström, Shinichi Nakajima, Marina M.-C. Höhne",Machine Learning (ML),20561,AAAI/2022/Proceedings/20561 - NoiseGrad — Enhancing Explanations by Introducing Stochasticity to Model Weights.pdf,,False,False,2,3,8,6,2,3,4
AAAI,2022,GALAXY: A Generative Pre-trained Model for Task-Oriented Dialog with Semi-supervised Learning and Explicit Policy Injection,"Wanwei He, Yinpei Dai, Yinhe Zheng, Yuchuan Wu, Zheng Cao, Dermot Liu, Peng Jiang, Min Yang, Fei Huang, Luo Si, Jian Sun, Yongbin Li",Speech & Natural Language Processing (SNLP),21320,AAAI/2022/Proceedings/21320 - GALAXY: A Generative Pre-trained Model for Task-Oriented Dialog with Semi-supervised Learning and Explicit Policy Injection.pdf,,False,True,2,2,1,1,4,1,3
AAAI,2022,ReMoNet: Recurrent Multi-Output Network for Efficient Video Denoising,"Liuyu Xiang, Jundong Zhou, Jirui Liu, Zerun Wang, Haidong Huang, Jie Hu, Jungong Han, Yuchen Guo, Guiguang Ding",Computer Vision (CV),20182,AAAI/2022/Proceedings/20182 - ReMoNet: Recurrent Multi-Output Network for Efficient Video Denoising.pdf,,False,False,2,2,10,6,9,6,5
AAAI,2022,A Graph Convolutional Network with Adaptive Graph Generation and Channel Selection for Event Detection,"Zhipeng Xie, Yumin Tu",Speech & Natural Language Processing (SNLP),21405,AAAI/2022/Proceedings/21405 - A Graph Convolutional Network with Adaptive Graph Generation and Channel Selection for Event Detection.pdf,,False,False,1,1,10,6,4,1,4
AAAI,2022,Entropy Estimation via Normalizing Flow,"Ziqiao Ao, Jinglai  Li",Reasoning Under Uncertainty (RU),21237,AAAI/2022/Proceedings/21237 - Entropy Estimation via Normalizing Flow.pdf,,False,False,2,2,10,5,8,3,10
AAAI,2022,Weakly Supervised Video Moment Localization with Contrastive Negative Sample Mining,"Minghang Zheng, Yanjie Huang, Qingchao Chen, Yang Liu",Computer Vision (CV),20263,AAAI/2022/Proceedings/20263 - Weakly Supervised Video Moment Localization with Contrastive Negative Sample Mining.pdf,,False,True,2,2,1,1,2,1,3
AAAI,2022,Dual Attention Networks for Few-Shot Fine-Grained Recognition,"Shu-Lin Xu, Faen Zhang, Xiu-Shen Wei, Jianhua Wang","Computer Vision (CV), Machine Learning (ML)",20196,AAAI/2022/Proceedings/20196 - Dual Attention Networks for Few-Shot Fine-Grained Recognition.pdf,,False,False,3,3,10,1,4,1,2
AAAI,2022,Learning Auxiliary Monocular Contexts Helps Monocular 3D Object Detection,"Xianpeng Liu, Nan Xue, Tianfu Wu",Computer Vision (CV),20074,AAAI/2022/Proceedings/20074 - Learning Auxiliary Monocular Contexts Helps Monocular 3D Object Detection.pdf,,False,True,1,1,1,1,2,1,5
AAAI,2022,ASM2TV: An Adaptive Semi-supervised Multi-Task Multi-View Learning Framework for Human Activity Recognition,"Zekai Chen, Xiao Zhang, Xiuzhen Cheng","Machine Learning (ML), Search And Optimization (SO), Knowledge Representation And Reasoning (KRR), Reasoning Under Uncertainty (RU)",20584,AAAI/2022/Proceedings/20584 - ASM2TV: An Adaptive Semi-supervised Multi-Task Multi-View Learning Framework for Human Activity Recognition.pdf,,False,True,2,2,3,4,2,5,7
AAAI,2022,‘Beach’ to ‘Bitch’: Inadvertent Unsafe Transcription of Kids’ Content on YouTube,"Krithika Ramesh, Ashiqur R. KhudaBukhsh, Sumeet Kumar",AI For Social Impact (AISI Track Papers Only),21470,AAAI/2022/Proceedings/21470 - ‘Beach’ to ‘Bitch’: Inadvertent Unsafe Transcription of Kids’ Content on YouTube.pdf,,False,True,1,1,2,1,1,2,1
AAAI,2022,End-to-End Line Drawing Vectorization,"Hanyuan Liu, Chengze Li, Xueting Liu, Tien-Tsin Wong","Domain(s) Of Application (APP), Computer Vision (CV), Machine Learning (ML)",20379,AAAI/2022/Proceedings/20379 - End-to-End Line Drawing Vectorization.pdf,,False,False,3,3,9,4,5,2,4
AAAI,2022,Reference-Based Speech Enhancement via Feature Alignment and Fusion Network,"Huanjing Yue, Wenxin Duo, Xiulian Peng, Jingyu Yang",Speech & Natural Language Processing (SNLP),21419,AAAI/2022/Proceedings/21419 - Reference-Based Speech Enhancement via Feature Alignment and Fusion Network.pdf,,False,True,2,2,3,3,2,1,4
AAAI,2022,Encoding Multi-Valued Decision Diagram Constraints as Binary Constraint Trees,"Ruiwei Wang, Roland H.C. Yap",Constraint Satisfaction And Optimization (CSO),20300,AAAI/2022/Proceedings/20300 - Encoding Multi-Valued Decision Diagram Constraints as Binary Constraint Trees.pdf,,False,False,4,4,7,1,1,2,6
AAAI,2022,ReforesTree: A Dataset for Estimating Tropical Forest Carbon Stock with Deep Learning and Aerial Imagery,"Gyri Reiersen, David Dao, Björn Lütjens, Konstantin Klemmer, Kenza Amara, Attila Steinegger, Ce Zhang, Xiaoxiang Zhu",AI For Social Impact (AISI Track Papers Only),21471,AAAI/2022/Proceedings/21471 - ReforesTree: A Dataset for Estimating Tropical Forest Carbon Stock with Deep Learning and Aerial Imagery.pdf,,False,False,1,1,5,2,5,3,2
AAAI,2022,Event-Aware Multimodal Mobility Nowcasting,"Zhaonan Wang, Renhe Jiang, Hao Xue, Flora D. Salim, Xuan Song, Ryosuke Shibasaki",Data Mining & Knowledge Management (DMKM),20342,AAAI/2022/Proceedings/20342 - Event-Aware Multimodal Mobility Nowcasting.pdf,,False,True,3,4,2,1,3,2,4
AAAI,2022,Self-Supervised Audio-and-Text Pre-training with Extremely Low-Resource Parallel Data,"Yu Kang, Tianqiao Liu, Hang Li, Yang Hao, Wenbiao Ding",Speech & Natural Language Processing (SNLP),21334,AAAI/2022/Proceedings/21334 - Self-Supervised Audio-and-Text Pre-training with Extremely Low-Resource Parallel Data.pdf,,False,False,3,3,7,2,6,3,5
AAAI,2023,Combining Adversaries with Anti-adversaries in Training,"Xiaoling Zhou, Nan Yang, Ou Wu","ML: Adversarial Learning & Robustness, ML: Bias and Fairness, ML: Classification and Regression, ML: Deep Learning Theory, ML: Meta Learning",26352,AAAI/2023/Proceedings/26352 - Combining Adversaries with Anti-adversaries in Training.pdf,,False,False,3,3,10,4,2,3,6
AAAI,2023,Attention-Based Depth Distillation with 3D-Aware Positional Encoding for Monocular 3D Object Detection,"Zizhang Wu, Yunzhe Wu, Jian Pu, Xianzhi Li, Xiaoquan Wang","CV: 3D Computer Vision, CV: Applications",25391,AAAI/2023/Proceedings/25391 - Attention-Based Depth Distillation with 3D-Aware Positional Encoding for Monocular 3D Object Detection.pdf,,False,True,1,1,10,3,4,1,5
AAAI,2023,Semi-Supervised Deep Regression with Uncertainty Consistency and Variational Model Ensembling via Bayesian Neural Networks,"Weihang Dai, Xiaomeng Li, Kwang-Ting Cheng","ML: Semi-Supervised Learning, CV: Learning & Optimization for CV, CV: Medical and Biological Imaging, APP: Healthcare, Medicine & Wellness, ML: Bayesian Learning, ML: Classification and Regression, ML: Deep Neural Network Algorithms, RU: Bayesian Networks",25890,AAAI/2023/Proceedings/25890 - Semi-Supervised Deep Regression with Uncertainty Consistency and Variational Model Ensembling via Bayesian Neural Networks.pdf,,False,True,2,2,2,1,2,1,3
AAAI,2023,Boosted Dynamic Neural Networks,"Haichao Yu, Haoxiang Li, Gang Hua, Gao Huang, Humphrey Shi","ML: Deep Neural Architectures, ML: Learning on the Edge & Model Compression",26302,AAAI/2023/Proceedings/26302 - Boosted Dynamic Neural Networks.pdf,,False,True,2,2,5,3,3,2,4
AAAI,2023,On Generalized Degree Fairness in Graph Neural Networks,"Zemin Liu, Trung-Kien Nguyen, Yuan Fang","DMKM: Graph Mining, Social Network Analysis & Community Mining, ML: Bias and Fairness, ML: Graph-based Machine Learning",25574,AAAI/2023/Proceedings/25574 - On Generalized Degree Fairness in Graph Neural Networks.pdf,,False,False,3,3,10,2,8,1,3
AAAI,2023,Gradient-Based Graph Attention for Scene Text Image Super-resolution,"Xiangyuan Zhu, Kehua Guo, Hui Fang, Rui Ding, Zheng Wu, Gerald Schaefer","CV: Low Level & Physics-Based Vision, CV: Image and Video Retrieval, CV: Interpretability and Transparency, CV: Language and Vision, CV: Learning & Optimization for CV, CV: Applications",25499,AAAI/2023/Proceedings/25499 - Gradient-Based Graph Attention for Scene Text Image Super-resolution.pdf,,False,True,1,1,3,1,2,2,3
AAAI,2023,A Latent-Variable Model for Intrinsic Probing,"Karolina Stańczak, Lucas Torroba Hennigen, Adina Williams, Ryan Cotterell, Isabelle Augenstein","SNLP: Interpretability & Analysis of NLP Models, SNLP: Machine Translation & Multilinguality",26593,AAAI/2023/Proceedings/26593 - A Latent-Variable Model for Intrinsic Probing.pdf,,False,True,1,1,1,1,1,1,3
AAAI,2023,Misspecification in Inverse Reinforcement Learning,"Joar Skalse, Alessandro Abate",General,26766,AAAI/2023/Proceedings/26766 - Misspecification in Inverse Reinforcement Learning.pdf,Outstanding Paper Award,True,False,0,0,1,1,1,1,10
AAAI,2023,Stop-Gradient Softmax Loss for Deep Metric Learning,"Lu Yang, Peng Wang, Yanning Zhang","CV: Image and Video Retrieval, CV: Learning & Optimization for CV, CV: Representation Learning for Vision",25421,AAAI/2023/Proceedings/25421 - Stop-Gradient Softmax Loss for Deep Metric Learning.pdf,,False,False,4,4,9,2,3,3,4
AAAI,2023,Learning Pessimism for Reinforcement Learning,"Edoardo Cetin, Oya Celiktutan","ML: Reinforcement Learning Algorithms, ROB: Behavior Learning & Control, ML: Auto ML and Hyperparameter Tuning",25852,AAAI/2023/Proceedings/25852 - Learning Pessimism for Reinforcement Learning.pdf,,False,False,5,5,10,3,9,1,7
AAAI,2023,RESDSQL: Decoupling Schema Linking and Skeleton Parsing for Text-to-SQL,"Haoyang Li, Jing Zhang, Cuiping Li, Hong Chen","SNLP: Lexical & Frame Semantics, Semantic Parsing, SNLP: Language Models",26535,AAAI/2023/Proceedings/26535 - RESDSQL: Decoupling Schema Linking and Skeleton Parsing for Text-to-SQL.pdf,,False,True,1,1,2,1,2,1,2
AAAI,2023,"Walkability Optimization: Formulations, Algorithms, and a Case Study of Toronto","Weimin Huang, Elias B. Khalil",General,26667,"AAAI/2023/Proceedings/26667 - Walkability Optimization: Formulations, Algorithms, and a Case Study of Toronto.pdf",,False,True,1,1,1,1,4,1,2
AAAI,2023,Layer-Wise Adaptive Model Aggregation for Scalable Federated Learning,"Sunwoo Lee, Tuo Zhang, A. Salman Avestimehr","ML: Distributed Machine Learning & Federated Learning, ML: Scalability of ML Systems",26023,AAAI/2023/Proceedings/26023 - Layer-Wise Adaptive Model Aggregation for Scalable Federated Learning.pdf,,False,False,3,3,9,2,1,5,6
AAAI,2023,Towards In-Distribution Compatible Out-of-Distribution Detection,"Boxi Wu, Jie Jiang, Haidong Ren, Zifan Du, Wenxiao Wang, Zhifeng Li, Deng Cai, Xiaofei He, Binbin Lin, Wei Liu","ML: Deep Neural Network Algorithms, CV: Applications",26230,AAAI/2023/Proceedings/26230 - Towards In-Distribution Compatible Out-of-Distribution Detection.pdf,,False,False,7,7,10,3,7,1,6
AAAI,2023,Local Justice and Machine Learning: Modeling and Inferring Dynamic Ethical Preferences toward Allocations,"Violet (Xinying) Chen, Joshua Williams, Derek Leben, Hoda Heidari","HAI: Learning Human Values and Preferences, PEAI: Bias, Fairness & Equity",25737,AAAI/2023/Proceedings/25737 - Local Justice and Machine Learning: Modeling and Inferring Dynamic Ethical Preferences toward Allocations.pdf,,False,False,0,1,5,6,1,1,5
AAAI,2023,Simple and Efficient Heterogeneous Graph Neural Network,"Xiaocheng Yang, Mingyu Yan, Shirui Pan, Xiaochun Ye, Dongrui Fan","ML: Graph-based Machine Learning, DMKM: Graph Mining, Social Network Analysis & Community Mining",26283,AAAI/2023/Proceedings/26283 - Simple and Efficient Heterogeneous Graph Neural Network.pdf,,False,True,4,4,1,1,2,2,4
AAAI,2023,ESL-SNNs: An Evolutionary Structure Learning Strategy for Spiking Neural Networks,"Jiangrong Shen, Qi Xu, Jian K. Liu, Yueming Wang, Gang Pan, Huajin Tang","CMS: Brain Modeling, CMS: Agent & Cognitive Architectures, CMS: Structural Learning and Knowledge Capture",25079,AAAI/2023/Proceedings/25079 - ESL-SNNs: An Evolutionary Structure Learning Strategy for Spiking Neural Networks.pdf,,False,False,3,3,10,4,4,2,4
AAAI,2023,Interventional SHAP Values and Interaction Values for Piecewise Linear Regression Trees,"Artjom Zern, Klaus Broelemann, Gjergji Kasneci","ML: Transparent, Interpretable, Explainable ML, GTEP: Cooperative Game Theory, ML: Classification and Regression, PEAI: Interpretability and Explainability",26322,AAAI/2023/Proceedings/26322 - Interventional SHAP Values and Interaction Values for Piecewise Linear Regression Trees.pdf,,False,True,1,1,1,1,3,2,7
AAAI,2023,Query-Aware Quantization for Maximum Inner Product Search,"Jin Zhang, Defu Lian, Haodi Zhang, Baoyun Wang, Enhong Chen","DMKM: Web Search & Information Retrieval, DMKM: Web Personalization & User Modeling",25613,AAAI/2023/Proceedings/25613 - Query-Aware Quantization for Maximum Inner Product Search.pdf,,False,False,3,3,9,2,7,4,5
AAAI,2023,MetaZSCIL: A Meta-Learning Approach for Generalized Zero-Shot Class Incremental Learning,"Yanan Wu, Tengfei Liang, Songhe Feng, Yi Jin, Gengyu Lyu, Haojun Fei, Yang Wang","ML: Multi-Instance/Multi-View Learning, CV: Image and Video Retrieval",26238,AAAI/2023/Proceedings/26238 - MetaZSCIL: A Meta-Learning Approach for Generalized Zero-Shot Class Incremental Learning.pdf,,False,False,5,5,10,3,4,1,6
AAAI,2023,Flexible 3D Lane Detection by Hierarchical Shape Matching,"Zhihao Guan, Ruixin Liu, Zejian Yuan, Ao Liu, Kun Tang, Tong Zhou, Erlong Li, Chao Zheng, Shuqi Mei","CV: Object Detection & Categorization, CV: Vision for Robotics & Autonomous Driving, CV: Scene Analysis & Understanding, CV: Applications",25146,AAAI/2023/Proceedings/25146 - Flexible 3D Lane Detection by Hierarchical Shape Matching.pdf,,False,True,0,2,5,7,3,3,6
AAAI,2023,DACOM: Learning Delay-Aware Communication for Multi-Agent Reinforcement Learning,"Tingting Yuan, Hwei-Ming Chung, Jie Yuan, Xiaoming Fu","MAS: Agent Communication, ML: Reinforcement Learning Algorithms, ML: Reinforcement Learning Theory, MAS: Multiagent Learning",26389,AAAI/2023/Proceedings/26389 - DACOM: Learning Delay-Aware Communication for Multi-Agent Reinforcement Learning.pdf,,False,False,3,3,8,2,4,1,6
AAAI,2023,Post-hoc Uncertainty Learning Using a Dirichlet Meta-Model,"Maohao Shen, Yuheng Bu, Prasanna Sattigeri, Soumya Ghosh, Subhro Das, Gregory Wornell",ML: Calibration & Uncertainty Quantification,26167,AAAI/2023/Proceedings/26167 - Post-hoc Uncertainty Learning Using a Dirichlet Meta-Model.pdf,,False,False,8,8,10,4,9,1,7
AAAI,2023,The Effect of Diversity in Meta-Learning,"Ramnath Kumar, Tristan Deleu, Yoshua Bengio","ML: Meta Learning, ML: Multi-Instance/Multi-View Learning, ML: Representation Learning, ML: Transfer, Domain Adaptation, Multi-Task Learning, ML: Active Learning, ML: Optimization, ML: Deep Neural Network Algorithms, ML: Other Foundations of Machine Learning, ML: Classification and Regression, ML: Evaluation and Analysis (Machine Learning)",26012,AAAI/2023/Proceedings/26012 - The Effect of Diversity in Meta-Learning.pdf,,False,True,4,4,1,1,4,1,4
